Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
REGULATORY T CELLS IN GRAFT-VERSUS-HOST DISEASE		NIAID	8309105	5P01AI033484-16	5	P01	AI	33484	16		6272	1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2011		389241	389241
PROGRAM ADMINISTRATION		NIAID	8309106	5P01AI033484-16	5	P01	AI	33484	16		6274	1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2011		161440	161440
IMMUNOBIOLOGY OF TOLERANCE FF ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTATION		NIAID	8119594	5P01AI033484-16	5	P01	AI	33484	16			1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2011	1231495		1231495
BIOMARKER DISCOVERY IN CHRONIC GRAFT-VS-HOST DISEASE		NHLBI	8081764	5R01HL094260-04	5	R01	HL	94260	4			1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2011	440000		440000
WHOLE GENOME ASSOCIATION ANALYSIS OF HEMATOPOIETIC CELL TRANSPLANT (HCT) OUTCOME		NHLBI	8022984	1R01HL105914-01	1	R01	HL	105914	1			1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2011	2445048		2445048
CELL PROCESSING AND STORAGE CORE		NCI	8277827	5P01CA018029-36	5	P01	CA	18029	36		9015	1921030	HEIMFELD, SHELLY 	HEIMFELD, SHELLY		Not Applicable	Fred Hutch	 	2011		651629	651629
EPIGENOMIC PROFILING OF HISTONE TURNOVER KINETICS IN MAMMALIAN CELLS		NIEHS	8147842	5R01ES020116-02	5	R01	ES	20116	2			1862345	HENIKOFF, STEVEN 	HENIKOFF, STEVEN		Not Applicable	Fred Hutch	 	2011	481299		481299
GENOME-WIDE PROFILING OF HISTONE VARIANTS IN DROSOPHILA AND CAENORHABDITIS		NHGRI	8250126	3U01HG004274-04S1	3	U01	HG	4274	4	S1		1862345	HENIKOFF, STEVEN 	HENIKOFF, STEVEN		Not Applicable	Fred Hutch	 	2011	390992		390992
COMPUTATIONAL APPROACHES TO STUDYING IMMUNODOMINANCE.		NIAID	8146897	5K25AI087397-02	5	K25	AI	87397	2			9866388	HERTZ, TOMER 	HERTZ, TOMER		Not Applicable	Fred Hutch	 	2011	123922		123922
GENETIC PROGRESSION OF PANCREATIC MUCINOUS CYSTIC NEOPLASMS TO INVASIVE CARCINOMA		NCI	8010853	5R01CA129357-03	5	R01	CA	129357	3			1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R		Not Applicable	Fred Hutch	 	2011	353000		353000
OVERCOMING STROMAL BARRIERS TO THERAPEUTICS IN PANCREAS CANCER		NCI	8163351	1R01CA161112-01	1	R01	CA	161112	1			1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R		Not Applicable	Fred Hutch	 	2011	524117		524117
METABOLIC ALTERATIONS IN ADVANCED BREAST CANCER AND RESPONSE TO SYSTEMIC THERAPY.		NCI	8330199	5P50CA138293-02	5	P50	CA	138293	2		6631	1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.		Not Applicable	Fred Hutch	 	2011		351137	351137
BIOMARKER DISCOVERY FOR MITOCHONDRIAL TOXICANTS USING METABOLIC FOOTPRINTING		NIEHS	8218308	1R01ES020819-01	1	R01	ES	20819	1			1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.		Not Applicable	Fred Hutch	 	2011	395592		395592
INITIATION OF THE IMMUNE RESPONSE TO ASPERGILLUS FUMIGATUS		NIAID	8194743	1R01AI093808-01A1	1	R01	AI	93808	1	A1		8088054	HOHL, TOBIAS M	HOHL, TOBIAS M		Not Applicable	Fred Hutch	 	2011	440000		440000
BISPHENOL A LEVELS AND ENDOMETRIOSIS RISK IN REPRODUCTIVE-AGE WOMEN		NIEHS	8094535	1R03ES019976-01	1	R03	ES	19976	1			1876002	HOLT, VICTORIA L	HOLT, VICTORIA L		Not Applicable	Fred Hutch	 	2011	88000		88000
GENETIC EPIDEMIOLOGY OF BREAST CANCER: RISK; INSTABILITY; AND STATISTICAL METHODS		NIA	8102812	5R01AG014358-13	5	R01	AG	14358	13			1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2011	274666		274666
STATISTICAL METHODS FOR GENETIC EPIDEMIOLOGY		NCI	8174888	2P01CA053996-34	2	P01	CA	53996	34		6127	1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2011		184098	184098
BIOSTATISTICS		NCI	8330204	5P50CA138293-02	5	P50	CA	138293	2		6639	1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2011		116792	116792
NONHUMAN PRIMATE CORE		NIAID	8202348	1U19AI096111-01	1	U19	AI	96111	1		8302	1858802	HU, SHIU-LOK 	HU, SHIU-LOK		Not Applicable	Fred Hutch	 	2011		1084797	1084797
STATISTICAL METHODS FOR EVALUATING MARKERS FOR TREATMENT SELECTION		NCI	8103190	5R01CA152089-02	5	R01	CA	152089	2			6817166	JANES, HOLLY 	JANES, HOLLY		Not Applicable	Fred Hutch	 	2011	381025		381025
TARGETED DISRUPTION OF INTEGRATED SHIV BY ENGINEERED HOMING ENDONUCLEASES		NIAID	8202339	1U19AI096111-01	1	U19	AI	96111	1		8300	1942486	JEROME, KEITH R	JEROME, KEITH R		Not Applicable	Fred Hutch	 	2011		586798	586798
ADMINISTRATIVE CORE		NIAID	8202353	1U19AI096111-01	1	U19	AI	96111	1		8306	1942486	JEROME, KEITH R	JEROME, KEITH R		Not Applicable	Fred Hutch	 	2011		244470	244470
TARGETED MODIFICATION OF HOST AND PROVIRAL DNA TO TREAT LATENT HIV INFECTION		NIAID	8185379	1U19AI096111-01	1	U19	AI	96111	1			1942486	JEROME, KEITH R 	JEROME, KEITH R		KIEM, HANS-PETER 	Fred Hutch	 	2011	3932050		3932050
INCIDENCE; TIMING AND COFACTORS THAT CONTRIBUTE TO THE HIGH RISK OF HIV-1 INFECT		NICHD	8312547	5P01HD064915-03	5	P01	HD	64915	3		6851	1896447	JOHN-STEWART, GRACE C	JOHN-STEWART, GRACE C		Not Applicable	Fred Hutch	 	2011		572064	572064
METHYLATED DNA BIOMARKERS FOR BARRETT'S ESOPHAGUS AND ESOPHAGEAL ADENOCARCINOMA		NIDDK	8077433	5K08DK080630-05	5	K08	DK	80630	5			7888982	KAZ, ANDREW M	KAZ, ANDREW M		Not Applicable	Fred Hutch	 	2011	102735		102735
DEVELOPMENT OF NOVEL AIDS GENE THERAPY STRATEGIES IN THE MACAQUE SHIV MODEL		NIAID	8121505	5R01AI080326-03	5	R01	AI	80326	3			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2011	551896		551896
CCR5 TARGETING TO CONTROL HIV/SHIV TO NONHUMAN PRIMATES		NIAID	8202337	1U19AI096111-01	1	U19	AI	96111	1		8299	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2011		276808	276808
TRANSPLANTATION CORE		NIAID	8202349	1U19AI096111-01	1	U19	AI	96111	1		8303	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2011		715823	715823
HEMATOPOIETIC CHEMOPROTECTION IN GLIOBLASTOMA PATIENTS		NCI	8103175	5R01CA114218-06	5	R01	CA	114218	6			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2011	439580		439580
LAGLIDADG DELIVERY AND GENE REPAIR IN HEMATOPOIETIC STEM CELLS (7 OF 11)		NHLBI	8092523	5RL1HL092554-05	5	RL1	HL	92554	5			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2011	607698		607698
DEVELOPMENT OF SAFE AND EFFICIENT GENE THERAPY STRATEGIES FOR HEMOGLOBINOPATHIES		NHLBI	8015603	5R01HL098489-02	5	R01	HL	98489	2			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2011	704921		704921
CLINICAL SPECIMEN MANAGEMENT AND CHARACTERIZATION CORE		NCI	8322541	5P50CA083636-13	5	P50	CA	83636	13		7970	1938161	KNUDSEN, BEATRICE S.	KNUDSEN, BEATRICE S.		Not Applicable	Fred Hutch	 	2011		263687	263687
LOCAL DETERMINANTS OF HSV-2 SHEDDING IN HUMANS		NIAID	8305101	5P01AI030731-21	5	P01	AI	30731	21		10	1872996	KOELLE, DAVID M	KOELLE, DAVID M		Not Applicable	Fred Hutch	 	2011		294566	294566
EPIDEMIOLOGY OF PUTATIVE GENUINE GENETIC VARIANT:  THE WOMEN'S HEALTH INTIATIVE		NHGRI	8097602	5U01HG004790-04	5	U01	HG	4790	4			1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L		Not Applicable	Fred Hutch	 	2011	1912247		1912247
ADAPTIVE STATISTICAL METHODS FOR GENETIC ASSOCIATION STUDIES		NHGRI	8082575	1R01HG006124-01	1	R01	HG	6124	1			1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L		Not Applicable	Fred Hutch	 	2011	352000		352000
ADIPOSE TISSUE INFLAMMATION AND ESTROGEN SYNTHESIS		NCI	8105433	5R21CA143248-02	5	R21	CA	143248	2			9240904	KRATZ, MARIO 	KRATZ, MARIO		Not Applicable	Fred Hutch	 	2011	219652		219652
DIETARY FRUCTOSE AND LOW-GRADE INFLAMMATION		NHLBI	8093508	1R21HL108257-01	1	R21	HL	108257	1			9240904	KRATZ, MARIO 	KRATZ, MARIO		Not Applicable	Fred Hutch	 	2011	237635		237635
INTEGRATED SENSOR TECHNOLOGY FOR REAL-TIME RECORDING OF FOOD INTAKE		NCI	8013954	5U01CA135133-02	5	U01	CA	135133	2			1917113	KRISTAL, ALAN R.	KRISTAL, ALAN R.		Not Applicable	Fred Hutch	 	2011	733034		733034
MENOPAUSAL SYMPTOMS INITIATIVE-FINDING LASTING ANSWERS FOR SWEATS AND HOT FLASHES		NIA	8143386	5U01AG032699-04	5	U01	AG	32699	4			1871640	LACROIX, ANDREA Z. 	LACROIX, ANDREA Z.		ANDERSON, GARNET L.	Fred Hutch	 	2011	2577565		2577565
OBJECTIVE PHYSICAL ACTIVITY AND CARDIOVASCULAR HEALTH IN WOMEN AGED 80 AND OLDER		NHLBI	8128749	1R01HL105065-01A1	1	R01	HL	105065	1	A1		1871640	LACROIX, ANDREA Z.	LACROIX, ANDREA Z.		Not Applicable	Fred Hutch	 	2011	1341281		1341281
CRUCIFEROUS VEGETABLE FEEDING AND INFLAMMATION: EFFECT OF GST GENOTYPES		NCI	8081780	5R01CA142695-02	5	R01	CA	142695	2			1938336	LAMPE, JOHANNA W	LAMPE, JOHANNA W		Not Applicable	Fred Hutch	 	2011	252232		252232
GUT MICROBIOTA AND COLONIC GENE EXPRESSION: A LIGRAN TRIAL IN HUMANS		NCI	8190626	1U01CA162077-01	1	U01	CA	162077	1			1938336	LAMPE, JOHANNA W 	LAMPE, JOHANNA W		CHAPKIN, ROBERT STEPHEN;HULLAR, MEREDITH 	Fred Hutch	 	2011	720013		720013
CX43 PHOSPHORYLATION MODULATES KRAS MEDIATED PANCREAS CANCER PROGRESSION		NCI	8014924	5R21CA149554-02	5	R21	CA	149554	2			3168785	LAMPE, PAUL D	LAMPE, PAUL D		Not Applicable	Fred Hutch	 	2011	7698		7698
AFFINITY BASED STRATEGIES TO FAST TRACK DEVELOPMENT OF COLON CANCER BIOMARKERS		NCI	8129616	5U01CA152746-02	5	U01	CA	152746	2			3168785	LAMPE, PAUL D 	LAMPE, PAUL D		HANASH, SAMIR M	Fred Hutch	 	2011	657567		657567
PHOSPHORYLATION OF GAP JUNCTION PROTEINS		NIGMS	8010616	5R01GM055632-14	5	R01	GM	55632	14			3168785	LAMPE, PAUL D	LAMPE, PAUL D		Not Applicable	Fred Hutch	 	2011	372884		372884
STATISTICAL METHODS FOR CLINICAL STUDIES		NCI	8113234	5R01CA090998-09	5	R01	CA	90998	9			1941183	LEBLANC, MICHAEL L.	LEBLANC, MICHAEL L.		Not Applicable	Fred Hutch	 	2011	241996		241996
IMPROVING OUTCOMES ASSESSMENT IN CHRONIC GVHD		NCI	8098161	5R01CA118953-05	5	R01	CA	118953	5			1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2011	717578		717578
LONGITUDINAL STUDY OF IMMUNE MEDIATED DISORDERS AFTER ALLOGENEIC HCT		NCI	8327075	8U54CA163438-03	8	U54	CA	163438	3		5035	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2011		389898	389898
TRAINING AND CAREER DEVELOPMENT CORE		NCI	8327078	8U54CA163438-03	8	U54	CA	163438	3		8522	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2011		100445	100445
RDCRC ADMINISTRATIVE UNIT		NCI	8327079	8U54CA163438-03	8	U54	CA	163438	3		8523	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2011		213547	213547
IMMUNE MEDIATED DISORDERS AFTER ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTS (HCT)		NCI	8134958	8U54CA163438-03	8	U54	CA	163438	3			1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2011	1167500		1167500
PHYLOGENOMICS AND FUNCTIONAL DIVERSIFICATION OF THE HETEROCHROMATIN PROTEIN 1 GEN		NIGMS	8126109	1F32GM097897-01	1	F32	GM	97897	1			10199354	LEVINE, MIA TAUNA	LEVINE, MIA TAUNA		Not Applicable	Fred Hutch	 	2011	51326		51326
RISK FACTORS FOR SECOND PRIMARY BREAST CANCER AMONG DCIS SURVIVORS		NCI	8033209	5R01CA097271-07	5	R01	CA	97271	7			6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2011	709424		709424
RISK FACTORS FOR TRIPLE-NEGATIVE AND HER2-OVEREXPRESSING BREAST CANCER AMONG HI..		NCI	8296073	5P50CA148143-02	5	P50	CA	148143	2		6185	6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2011		246731	246731
BREAST AND OVARY CANCER CLINICAL VALIDATION CENTER		NCI	8129566	5U01CA152637-02	5	U01	CA	152637	2			6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2011	798082		798082
IN VIVO EFFECTS OF SULFORAPHANE SUPPLEMENTATION ON NORMAL HUMAN PROSTATE		NCI	8069167	5R01CA131255-03	5	R01	CA	131255	3			2046172	LIN, DANIEL W. 	LIN, DANIEL W.		KNUDSEN, BEATRICE S.	Fred Hutch	 	2011	1		1
RETROVIRAL CODED FUNCTIONS		NCI	7997232	5R01CA018282-35	5	R01	CA	18282	35			1884040	LINIAL, MAXINE L	LINIAL, MAXINE L		Not Applicable	Fred Hutch	 	2011	471252		471252
CONTAINING BIOTERRORIST AND EMERGING INFECTIOUS DISEASES		NIGMS	8211654	3U01GM070749-08S3	3	U01	GM	70749	8	S3		8541810	LONGINI, IRA M 	LONGINI, IRA M		HALLORAN, M ELIZABETH	Fred Hutch	 	2011	100001		100001
BIOMATHEMATICAL EVALUATION OF COLON CANCER SCREENING AND PREVENTION		NCI	8020941	5R01CA107028-06	5	R01	CA	107028	6			2268350	LUEBECK, GEORG E.	LUEBECK, GEORG E.		Not Applicable	Fred Hutch	 	2011	244422		244422
REGULATORY T CELL MODULATION OF IMMUNITY TO MUCOSAL VIRAL INFECTIONS		NIAID	8073590	5R01AI087657-02	5	R01	AI	87657	2			8733495	LUND, JENNIFER M.	LUND, JENNIFER M.		Not Applicable	Fred Hutch	 	2011	435600		435600
EPIDEMIOLOGY OF HPV-RELATED SCSC IN TRANSPLANT PATIENTS		NCI	8307527	5P01CA042792-23	5	P01	CA	42792	23		8	2478519	MADELEINE, MARGARET M	MADELEINE, MARGARET M		Not Applicable	Fred Hutch	 	2011		431667	431667
BIOSTATISTICS AND DATA MANAGEMENT		NCI	8307531	5P01CA042792-23	5	P01	CA	42792	23		9003	2478519	MADELEINE, MARGARET M	MADELEINE, MARGARET M		Not Applicable	Fred Hutch	 	2011		330810	330810
BIOSTATISTICS AND DATA MANAGEMENT CORE		NIAID	8305104	5P01AI030731-21	5	P01	AI	30731	21		9006	6474828	MAGARET, AMALIA S.	MAGARET, AMALIA S.		Not Applicable	Fred Hutch	 	2011		330631	330631
BIOSTATISTICS AND EVOLUTIONARY ANALYSIS		NCI	8293349	5P01CA091955-10	5	P01	CA	91955	10		9005	6486040	MALEY, CARLO 	MALEY, CARLO		Not Applicable	Fred Hutch	 	2011		295835	295835
GENETIC CONFLICT SHAPES CENTROMERES AND HETEROCHROMATIN		NIGMS	8101936	5R01GM074108-07	5	R01	GM	74108	7			8039624	MALIK, HARMIT S	MALIK, HARMIT S		Not Applicable	Fred Hutch	 	2011	358743		358743
ALLOGENEIC HCT FOR HEMATOLOGIC MALIGNANCIES: PHARMACOLOGIC MANIPULATIONS		NCI	8240006	5P01CA078902-13	5	P01	CA	78902	13		8825	1927522	MALONEY, DAVID G	MALONEY, DAVID G		Not Applicable	Fred Hutch	 	2011		184831	184831
TRANSCRIPTIONAL CONTROL OF STROMA DEPENDENT APOPTOSIS IN MDS		NIDDK	8137076	5K08DK085156-02	5	K08	DK	85156	2			9634435	MARCONDES, A. MARIO Q.	MARCONDES, A. MARIO Q.		Not Applicable	Fred Hutch	 	2011	132957		132957
PATIENT ENROLLMENT; SPECIMEN AND DATA MANAGEMENT; AND BIOSTATISTICS		NIAID	8309107	5P01AI033484-16	5	P01	AI	33484	16		6275	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2011		267296	267296
PREVENTION AND TREATMENT OF GRAFT-VERSUS-HOST DISEASE		NCI	8277819	5P01CA018029-36	5	P01	CA	18029	36		46	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2011		385515	385515
LONG-TERM FOLLOW-UP CORE		NCI	8277828	5P01CA018029-36	5	P01	CA	18029	36		9016	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2011		458329	458329
PBX HOMEODOMAIN PROTEINS IN SKELETAL MUSCLE DIFFERENTIATION		NIAMS	8136824	4R03AR057477-03	4	R03	AR	57477	3			1874507	MAVES, LISA A	MAVES, LISA A		Not Applicable	Fred Hutch	 	2011	84480		84480
GASTROENTEROLOGY; PULMONARY AND NEPHROLOGY CORE		NCI	8277825	5P01CA018029-36	5	P01	CA	18029	36		9010	2084704	MC DONALD, GEORGE B	MC DONALD, GEORGE B		Not Applicable	Fred Hutch	 	2011		227705	227705
VAGINAL HEALTH AND THE RISK OF HIV-1 ACQUISTION IN KENYAN WOMEN		NICHD	8312548	5P01HD064915-03	5	P01	HD	64915	3		6858	3065493	MCCLELLAND, RAYMOND SCOTT	MCCLELLAND, RAYMOND SCOTT		Not Applicable	Fred Hutch	 	2011		578045	578045
POPULATION PHARMACOKINETICS/PHARMACODYNAMICS IN NONABLATIVE STEM CELL RECIPIENTS		NHLBI	7996579	5R01HL091744-04	5	R01	HL	91744	4			7363685	MCCUNE, JEANNINE S	MCCUNE, JEANNINE S		Not Applicable	Fred Hutch	 	2011	427179		427179
HVTN LABORATORY PROGRAM		NIAID	8088126	5UM1AI068618-06	5	UM1	AI	68618	6			6365670	MCELRATH, MARGARET JULIANA	MCELRATH, MARGARET JULIANA		Not Applicable	Fred Hutch	 	2011	17087386		17087386
SEATTLE VACCINE TRIALS UNIT		NIAID	8008775	5U01AI069481-05	5	U01	AI	69481	5			6365670	MCELRATH, MARGARET JULIANA	MCELRATH, MARGARET JULIANA		Not Applicable	Fred Hutch	 	2011	469361		469361
BIOSTATISTICS AND INFORMATICS CORE		NCI	8322543	5P50CA083636-13	5	P50	CA	83636	13		7972	6202564	MCINTOSH, MARTIN 	MCINTOSH, MARTIN		Not Applicable	Fred Hutch	 	2011		158052	158052
DEVELOPMENTAL RESEARCH PROGRAM		NCI	8322544	5P50CA083636-13	5	P50	CA	83636	13		7973	6202564	MCINTOSH, MARTIN  	MCINTOSH, MARTIN		URBAN, NICOLE DENISE	Fred Hutch	 	2011		62478	62478
WEIGHT LOSS & EXERCISE EFFECTS ON TELOMERE LENGTH IN POSTMENOPAUSAL WOMEN		NCI	8028105	1R21CA155823-01	1	R21	CA	155823	1			1858777	MCTIERNAN, ANNE 	MCTIERNAN, ANNE		Not Applicable	Fred Hutch	 	2011	242205		242205
STATINS FOR PREVENTION OF GVHD		NHLBI	8106457	1R01HL108307-01A1	1	R01	HL	108307	1	A1		7346289	MIELCAREK, MARCO B	MIELCAREK, MARCO B		Not Applicable	Fred Hutch	 	2011	440000		440000
BIOLOGY AND TREATMENT OF CUTANEOUS SCLEROSIS		NCI	8327076	8U54CA163438-03	8	U54	CA	163438	3		5036	8132105	MIKLOS, DAVID B.	MIKLOS, DAVID B.		Not Applicable	Fred Hutch	 	2011		213336	213336
CHEMICAL AND ELECTRICAL SYNAPSE FORMATION IN VIVO.		NINDS	8254336	1F32NS074839-01A1	1	F32	NS	74839	1	A1		8069428	MILLER, ADAM C	MILLER, ADAM C		Not Applicable	Fred Hutch	 	2011	53042		53042
FSH-PATIENT DERIVED IPS CELLS TO STUDY THE DEVELOPMENTAL REGULATION OF DUX4 TRANS		NINDS	8232183	5P01NS069539-02	5	P01	NS	69539	2		6885	1939329	MILLER, DANIEL G	MILLER, DANIEL G		Not Applicable	Fred Hutch	 	2011		247228	247228
BIOCONDUCTOR: AN OPEN COMPUTING RESOURCE FOR GENOMICS		NHGRI	8243004	2U41HG004059-06	2	U41	HG	4059	6			9988122	MORGAN, MARTIN T	MORGAN, MARTIN T		Not Applicable	Fred Hutch	 	2011	1294880		1294880
PREGNANCY; MICROCHIMERISM; AND AUTOIMMUNE DISEASE		NIAID	8064367	5R01AI041721-14	5	R01	AI	41721	14			1884131	NELSON, J. LEE	NELSON, J. LEE		Not Applicable	Fred Hutch	 	2011	422226		422226
P-5:  MAXIMAL TARGETED INHIBITION OF ANDROGEN SIGNALING FOR PROSTATE CA THERAPY		NCI	8330641	5P50CA097186-10	5	P50	CA	97186	10		5	9257667	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2011		199605	199605
DEVELOPMENTAL RESEARCH PROGRAM		NCI	8330642	5P50CA097186-10	5	P50	CA	97186	10		6	9257681	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2011		184960	184960
CAREER DEVELOPMENT PROGRAM		NCI	8330643	5P50CA097186-10	5	P50	CA	97186	10		7	9257684	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2011		181834	181834
THE PACIFIC NORTHWEST PROSTATE CANCER SPORE		NCI	8130556	5P50CA097186-10	5	P50	CA	97186	10			1901168	NELSON, PETER S.	NELSON, PETER S.		Not Applicable	Fred Hutch	 	2011	2185000		2185000
VITAMIN D AND PROSTATE CANCER: BIOMARKERS AND GENETIC VARIATION		NCI	8034700	5R01CA138639-02	5	R01	CA	138639	2			6954985	NEUHOUSER, MARIAN L	NEUHOUSER, MARIAN L		Not Applicable	Fred Hutch	 	2011	489539		489539
METABOLIC RESPONSE TO WESTERN VS INDIGENOUS DIETS IN HISPANIC WOMEN		NCI	8296072	5P50CA148143-02	5	P50	CA	148143	2		6184	6954985	NEUHOUSER, MARIAN L	NEUHOUSER, MARIAN L		Not Applicable	Fred Hutch	 	2011		210060	210060
THE COLON CANCER FAMILY REGISTRY: SEATTLE		NCI	8134978	5U24CA074794-14	5	U24	CA	74794	14			1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2011	1740362		1740362
CANCER SURVIVORSHIP: DECREASING THE RISK OF COLON CANCER MORTALITY		NCI	8127792	5K05CA152715-02	5	K05	CA	152715	2			1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2011	109173		109173
GWAS IDENTIFIED COLORECTAL CANCER SNPS AND COLORECTAL POLYP RISK		NCI	8114992	5R03CA153323-02	5	R03	CA	153323	2			1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2011	85360		85360
ASSOCIATION BETWEEN HIV AND SURVIVAL AFTER CANCER DIAGNOSIS		NCI	8141948	5R03CA153371-02	5	R03	CA	153371	2			1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2011	85360		85360
CADMIUM EXPOSURE AND RISK OF BREAST CANCER IN THE WOMEN'S HEALTH INITIATIVE		NIEHS	8205344	1R01ES019667-01A1	1	R01	ES	19667	1	A1		1860334	NEWCOMB, POLLY A.	NEWCOMB, POLLY A.		Not Applicable	Fred Hutch	 	2011	356400		356400
INTEGRATING DIAGNOSTICS WITH THERAPEUTIC STRATEGIES IN CHRONIC MYELOID LEUKEMIA		NCI	8091473	5R01CA140371-03	5	R01	CA	140371	3			7087624	OEHLER, VIVIAN G	OEHLER, VIVIAN G		Not Applicable	Fred Hutch	 	2011	354244		354244
DEFINING THE IMPACT OF LIPID SYNTHESIS AND TURNOVER ON AGING IN C. ELEGANS		OD	8213261	1DP5OD009189-01	1	DP5	OD	9189	1			10782281	OLSEN, CARISSA 	OLSEN, CARISSA		Not Applicable	Fred Hutch	 	2011	440000		440000
CHLOROTOXIN AS A TARGETING AGENT FOR CANCER THERAPIES		NCI	8071610	5R01CA135491-04	5	R01	CA	135491	4			1904823	OLSON, JAMES M	OLSON, JAMES M		Not Applicable	Fred Hutch	 	2011	354244		354244
INFANT AND TODDLER BRAIN TUMORS		NCI	8027914	1R01CA155360-01	1	R01	CA	155360	1			1904823	OLSON, JAMES M	OLSON, JAMES M		Not Applicable	Fred Hutch	 	2011	365200		365200
EARLY AND REINFECTION IN HIGH RISK WOMEN		NIAID	8034679	5R37AI038518-17	5	R37	AI	38518	17			2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2011	974201		974201
THE ROLE OF ANTIBODIES IN MOTHER TO CHILD HIV TRANSMISSION		NIAID	8034241	5R01AI076105-04	5	R01	AI	76105	4			2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2011	485287		485287
CHARACTERIZATION OF HIV-1 ANTIBODY RESPONSES IN CHRONICALLY INFECTED WOMEN		NICHD	8089352	5R01HD058304-05	5	R01	HD	58304	5			2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2011	452120		452120
THE ROLE OF INFLAMMATION AND IMMUNE ACTIVATION IN HIV-1 INFECTION IN WOMEN		NICHD	8312549	5P01HD064915-03	5	P01	HD	64915	3		6861	2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2011		212551	212551
ADMINISTRATIVE CORE		NICHD	8312550	5P01HD064915-03	5	P01	HD	64915	3		6870	2433259	OVERBAUGH, JULIE M.	OVERBAUGH, JULIE M.		Not Applicable	Fred Hutch	 	2011		412305	412305
